127.0.0.1, 2018-10-26 16:22:00, GET, /admin/static/_2.17.2/images/folder.png, HTTP/1.1, 200, 0.001146
127.0.0.1, 2018-10-26 16:22:01, GET, /admin/static/_2.17.2/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000421
127.0.0.1, 2018-10-26 16:22:01, POST, /admin/default/check_version, HTTP/1.1, 200, 0.360810
127.0.0.1, 2018-10-26 16:22:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000332
127.0.0.1, 2018-10-26 16:22:07, GET, /start/default/index, HTTP/1.1, 200, 0.061813
127.0.0.1, 2018-10-26 16:22:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000388
127.0.0.1, 2018-10-26 16:36:29, GET, /, HTTP/1.1, 303, 15.009257
127.0.0.1, 2018-10-26 16:36:29, GET, /welcome/default/index, HTTP/1.1, 200, 0.102806
127.0.0.1, 2018-10-26 16:36:30, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000597
127.0.0.1, 2018-10-26 16:36:54, GET, /admin/default/site, HTTP/1.1, 303, 0.104559
127.0.0.1, 2018-10-26 16:36:54, GET, /admin/default/index, HTTP/1.1, 200, 0.030022
127.0.0.1, 2018-10-26 16:36:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000183
127.0.0.1, 2018-10-26 16:36:56, POST, /admin/default/index, HTTP/1.1, 303, 0.010810
127.0.0.1, 2018-10-26 16:36:56, GET, /admin/default/site, HTTP/1.1, 200, 0.039357
127.0.0.1, 2018-10-26 16:36:57, POST, /admin/default/check_version, HTTP/1.1, 200, 0.255884
127.0.0.1, 2018-10-26 16:36:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000966
127.0.0.1, 2018-10-26 16:36:59, GET, /start/default/index, HTTP/1.1, 200, 0.073710
127.0.0.1, 2018-10-26 16:36:59, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2018-10-26 16:37:03, GET, /admin/default/site, HTTP/1.1, 200, 0.024618
127.0.0.1, 2018-10-26 16:37:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000261
127.0.0.1, 2018-10-26 16:37:06, GET, /admin/default/design/start, HTTP/1.1, 200, 0.134632
127.0.0.1, 2018-10-26 16:37:06, GET, /admin/static/_2.17.2/images/search.png, HTTP/1.1, 200, 0.001399
127.0.0.1, 2018-10-26 16:37:06, GET, /admin/static/_2.17.2/images/help.png, HTTP/1.1, 200, 0.001518
127.0.0.1, 2018-10-26 16:37:06, GET, /admin/static/_2.17.2/images/delete_icon.png, HTTP/1.1, 200, 0.001068
127.0.0.1, 2018-10-26 16:37:06, GET, /admin/static/_2.17.2/images/test_icon.png, HTTP/1.1, 200, 0.001495
127.0.0.1, 2018-10-26 16:37:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000618
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/default/edit/start/controllers/default.py, HTTP/1.1, 200, 0.037004
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.002503
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.001962
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000833
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001363
127.0.0.1, 2018-10-26 16:39:05, GET, /admin/static/_2.17.2/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001159
